GENE	TP	FP	FN	P	R
ENSG00000186967	0	0	0	0	0
ENSG00000212938	334	0	8	1.0	0.977
ENSG00000263729	10	0	0	1.0	1.0
ENSG00000278963	0	41	0	0.0	0
ENSG00000278273	0	193	0	0.0	0
ENSG00000278200	0	0	0	0	0
ENSG00000177398	378	41	14	0.902	0.964
ENSG00000225886	17	259	1	0.062	0.944
ENSG00000170703	308	101	12	0.753	0.963
ENSG00000235965	0	0	0	0	0
ENSG00000203325	2	141	0	0.014	1.0
ENSG00000224269	4	32	0	0.111	1.0
ENSG00000224228	0	114	0	0.0	0
ENSG00000215835	0	0	0	0	0
ENSG00000183318	692	1	26	0.999	0.964
ENSG00000117305	115	140	1	0.451	0.991
ENSG00000266110	78	0	12	1.0	0.867
ENSG00000223643	44	2	2	0.957	0.957
ENSG00000141255	975	1024	37	0.488	0.963
ENSG00000213579	50	0	0	1.0	1.0
ENSG00000266714	21353	77	1103	0.996	0.951
ENSG00000188755	0	479	0	0.0	0
ENSG00000267632	0	87	0	0.0	0
ENSG00000287343	6	1	0	0.857	1.0
ENSG00000251866	0	0	0	0	0
ENSG00000230865	0	9	0	0.0	0
ENSG00000233213	2	0	0	1.0	1.0
ENSG00000237330	102	3	0	0.971	1.0
ENSG00000207256	119	0	1	1.0	0.992
ENSG00000224699	18492	3217	500	0.852	0.974
ENSG00000117408	695	2	35	0.997	0.952
ENSG00000263749	0	0	0	0	0
ENSG00000277007	4	2	0	0.667	1.0
ENSG00000171161	30	2	2	0.938	0.938
ENSG00000225028	0	0	0	0	0
ENSG00000108839	2	615	0	0.003	1.0
ENSG00000281571	89	1407	1	0.059	0.989
ENSG00000239809	56	0	2	1.0	0.966
ENSG00000223982	0	0	0	0	0
ENSG00000108861	42	25	2	0.627	0.955
ENSG00000162433	240	99	22	0.708	0.916
ENSG00000262094	66	8681	0	0.008	1.0
ENSG00000284652	0	0	0	0	0
ENSG00000234396	0	20	0	0.0	0
ENSG00000233852	0	9	0	0.0	0
ENSG00000276600	1141	7	31	0.994	0.974
ENSG00000182938	82	23	2	0.781	0.976
ENSG00000266101	0	3201	0	0.0	0
ENSG00000206737	0	23	0	0.0	0
ENSG00000231468	250	7	6	0.973	0.977
ENSG00000236915	0	354	0	0.0	0
ENSG00000116266	553	39	11	0.934	0.98
ENSG00000196388	6	38	0	0.136	1.0
ENSG00000226745	24	0	2	1.0	0.923
ENSG00000162621	0	295	0	0.0	0
ENSG00000225196	0	11	0	0.0	0
ENSG00000280330	14	66	0	0.175	1.0
ENSG00000225486	0	0	0	0	0
ENSG00000242220	392	109	10	0.782	0.975
ENSG00000230381	4	2	0	0.667	1.0
ENSG00000265883	0	0	0	0	0
ENSG00000224690	0	0	0	0	0
ENSG00000215887	0	0	0	0	0
ENSG00000276715	12	108	0	0.1	1.0
ENSG00000213028	0	0	0	0	0
ENSG00000206620	0	19	0	0.0	0
ENSG00000180626	5076	50	116	0.99	0.978
ENSG00000286496	6614	6	158	0.999	0.977
ENSG00000283300	15	0	3	1.0	0.833
ENSG00000163357	3766	99	196	0.974	0.951
ENSG00000236539	20	187	0	0.097	1.0
ENSG00000183153	0	0	0	0	0
ENSG00000281133	0	6	0	0.0	0
ENSG00000215317	13510	0	344	1.0	0.975
ENSG00000143641	573	130	11	0.815	0.981
ENSG00000117461	5049	504	125	0.909	0.976
ENSG00000287113	0	0	0	0	0
ENSG00000252530	0	0	0	0	0
ENSG00000260019	1417	17	51	0.988	0.965
ENSG00000262180	6	0	0	1.0	1.0
ENSG00000143742	1373	22	37	0.984	0.974
ENSG00000223262	80	0	2	1.0	0.976
ENSG00000158008	0	12	0	0.0	0
ENSG00000227230	592	190	12	0.757	0.98
ENSG00000230138	2	0	0	1.0	1.0
ENSG00000222552	97	0	3	1.0	0.97
ENSG00000179930	1711	2	21	0.999	0.988
ENSG00000225218	2	4	2	0.333	0.5
ENSG00000262172	0	0	0	0	0
ENSG00000177728	13281	344	587	0.975	0.958
ENSG00000116604	58	25	4	0.699	0.935
ENSG00000223519	2177	8226	113	0.209	0.951
ENSG00000157077	67397	702	1573	0.99	0.977
ENSG00000108590	0	6	0	0.0	0
ENSG00000161513	8343	9	365	0.999	0.958
ENSG00000280408	12	0	0	1.0	1.0
ENSG00000262884	937	84	17	0.918	0.982
ENSG00000284240	610	10	18	0.984	0.971
ENSG00000207975	121	0	3	1.0	0.976
ENSG00000127125	136	1386	4	0.089	0.971
ENSG00000162706	6769	1941	213	0.777	0.969
ENSG00000203758	20	0	0	1.0	1.0
ENSG00000272051	0	0	0	0	0
ENSG00000184032	0	0	0	0	0
ENSG00000198844	1942	27	66	0.986	0.967
ENSG00000108961	512	267	22	0.657	0.959
ENSG00000226049	0	109	0	0.0	0
ENSG00000171302	6257	1	159	1.0	0.975
ENSG00000286103	0	27	0	0.0	0
ENSG00000286448	0	286	0	0.0	0
ENSG00000226750	9	0	1	1.0	0.9
ENSG00000227940	680	0	22	1.0	0.969
ENSG00000167920	1022	33	20	0.969	0.981
ENSG00000270533	1	169	1	0.006	0.5
ENSG00000236430	0	1	0	0.0	0
ENSG00000261182	0	0	0	0	0
ENSG00000286799	0	32	0	0.0	0
ENSG00000283701	0	15	0	0.0	0
ENSG00000180667	1779	4	27	0.998	0.985
ENSG00000230623	1289	1201	37	0.518	0.972
ENSG00000284203	4	0	0	1.0	1.0
ENSG00000152332	1635	31	33	0.981	0.98
ENSG00000200601	0	0	0	0	0
ENSG00000225297	0	0	0	0	0
ENSG00000264304	0	2	0	0.0	0
ENSG00000241547	1099	5	19	0.995	0.983
ENSG00000222831	10	0	0	1.0	1.0
ENSG00000134256	136	133	4	0.506	0.971
ENSG00000170075	0	90	0	0.0	0
ENSG00000233359	47	205	3	0.187	0.94
ENSG00000132781	6653	18	373	0.997	0.947
ENSG00000225855	4119	990	89	0.806	0.979
ENSG00000189030	0	0	0	0	0
ENSG00000235038	0	11	0	0.0	0
ENSG00000121104	836	514	48	0.619	0.946
ENSG00000215819	21	4	1	0.84	0.955
ENSG00000238243	0	0	0	0	0
ENSG00000004975	2562	21	108	0.992	0.96
ENSG00000239415	101	1061	1	0.087	0.99
ENSG00000122180	0	5	0	0.0	0
ENSG00000270585	6	0	0	1.0	1.0
ENSG00000264511	12	0	0	1.0	1.0
ENSG00000286640	23	4	1	0.852	0.958
ENSG00000284601	20	3	0	0.87	1.0
ENSG00000231837	4	1	0	0.8	1.0
ENSG00000173762	1208	0	26	1.0	0.979
ENSG00000224388	303	200	11	0.602	0.965
ENSG00000044012	6	0	0	1.0	1.0
ENSG00000236471	0	0	0	0	0
ENSG00000225087	112	2313	4	0.046	0.966
ENSG00000235829	200	0	12	1.0	0.943
ENSG00000262188	536	189	6	0.739	0.989
ENSG00000238061	0	0	0	0	0
ENSG00000129667	2172	80	84	0.964	0.963
ENSG00000226580	0	0	0	0	0
ENSG00000262623	0	0	0	0	0
ENSG00000272482	0	0	0	0	0
ENSG00000162490	0	87	0	0.0	0
ENSG00000215381	156	0	0	1.0	1.0
ENSG00000187010	3348	401	134	0.893	0.962
ENSG00000143184	0	0	0	0	0
ENSG00000131233	0	442	0	0.0	0
ENSG00000109062	2093	35	57	0.984	0.973
ENSG00000163159	798	2870	36	0.218	0.957
ENSG00000207472	4	0	0	1.0	1.0
ENSG00000237841	0	0	0	0	0
ENSG00000224261	320	1	10	0.997	0.97
ENSG00000154734	114	0	4	1.0	0.966
ENSG00000187017	1130	244	54	0.822	0.954
ENSG00000160753	3228	2519	128	0.562	0.962
ENSG00000198890	50	1	0	0.98	1.0
ENSG00000213939	94	0	0	1.0	1.0
ENSG00000092607	1495	35	33	0.977	0.978
ENSG00000237731	0	0	0	0	0
ENSG00000282048	1476	0	28	1.0	0.981
ENSG00000108448	2994	374	92	0.889	0.97
ENSG00000267729	0	0	0	0	0
ENSG00000241322	904	184	34	0.831	0.964
ENSG00000012048	6041	5640	321	0.517	0.95
ENSG00000141499	505	1039	21	0.327	0.96
ENSG00000223975	98	1	2	0.99	0.98
ENSG00000202184	2	0	0	1.0	1.0
ENSG00000237337	0	5	0	0.0	0
ENSG00000266274	226	0	4	1.0	0.983
ENSG00000184811	0	57	0	0.0	0
ENSG00000196427	56	3443	0	0.016	1.0
ENSG00000278932	159	32	9	0.832	0.946
ENSG00000259207	990	1907	30	0.342	0.971
ENSG00000237622	0	0	0	0	0
ENSG00000202491	8	0	0	1.0	1.0
ENSG00000229590	0	0	0	0	0
ENSG00000276070	1143	1	31	0.999	0.974
ENSG00000236782	2	437	0	0.005	1.0
ENSG00000266162	0	356	0	0.0	0
ENSG00000281664	0	0	0	0	0
ENSG00000261886	34	345	2	0.09	0.944
ENSG00000200463	252	0	4	1.0	0.984
ENSG00000170425	13906	270	230	0.981	0.984
ENSG00000143387	6	30	0	0.167	1.0
ENSG00000262408	0	0	0	0	0
ENSG00000162461	0	5	0	0.0	0
ENSG00000287432	4	14	0	0.222	1.0
ENSG00000141506	13965	67	649	0.995	0.956
ENSG00000143013	1187	1	29	0.999	0.976
ENSG00000207962	0	0	0	0	0
ENSG00000224818	4	0	0	1.0	1.0
ENSG00000230969	157	0	5	1.0	0.969
ENSG00000233589	123	21	3	0.854	0.976
ENSG00000284202	0	1620	0	0.0	0
ENSG00000073350	1150	120	72	0.906	0.941
ENSG00000125447	35387	45	1371	0.999	0.963
ENSG00000223608	0	3	0	0.0	0
ENSG00000175279	99	22	5	0.818	0.952
ENSG00000116830	267	664	13	0.287	0.954
ENSG00000122406	1121	351	99	0.762	0.919
ENSG00000285802	0	31	0	0.0	0
ENSG00000198400	3817	82	233	0.979	0.942
ENSG00000235378	0	0	0	0	0
ENSG00000286589	0	487	0	0.0	0
ENSG00000121454	233	661	5	0.261	0.979
ENSG00000236234	60	945	2	0.06	0.968
ENSG00000279390	0	0	0	0	0
ENSG00000228172	261	2188	15	0.107	0.946
ENSG00000202205	0	0	0	0	0
ENSG00000231421	0	48	0	0.0	0
ENSG00000235605	0	27	0	0.0	0
ENSG00000228988	14	0	0	1.0	1.0
ENSG00000159182	8	0	0	1.0	1.0
ENSG00000243064	0	158	0	0.0	0
ENSG00000252368	0	0	0	0	0
ENSG00000266733	243	20	5	0.924	0.98
ENSG00000207194	0	2	0	0.0	0
ENSG00000230615	5518	135	208	0.976	0.964
ENSG00000284237	3177	0	59	1.0	0.982
ENSG00000116396	13079	252	237	0.981	0.982
ENSG00000134375	427	21	7	0.953	0.984
ENSG00000219102	0	1	0	0.0	0
ENSG00000264456	0	43	0	0.0	0
ENSG00000203705	2669	93	117	0.966	0.958
ENSG00000274615	55	2829	3	0.019	0.948
ENSG00000287980	0	11	0	0.0	0
ENSG00000169962	6	75	0	0.074	1.0
ENSG00000196407	4	9	0	0.308	1.0
ENSG00000162390	114	232	2	0.329	0.983
ENSG00000232608	0	7	0	0.0	0
ENSG00000226520	0	0	0	0	0
ENSG00000271164	0	0	0	0	0
ENSG00000274620	0	0	0	0	0
ENSG00000229842	0	203	0	0.0	0
ENSG00000131584	989	85	79	0.921	0.926
ENSG00000280046	0	492	0	0.0	0
ENSG00000231050	0	0	0	0	0
ENSG00000162688	13415	96	467	0.993	0.966
ENSG00000007216	1914	15	92	0.992	0.954
ENSG00000122481	434	778	18	0.358	0.96
ENSG00000286754	0	0	0	0	0
ENSG00000232551	48	0	2	1.0	0.96
ENSG00000227090	0	1	0	0.0	0
ENSG00000183486	941	36	29	0.963	0.97
ENSG00000154198	342	123	24	0.735	0.934
ENSG00000260583	395	0	5	1.0	0.988
ENSG00000157542	1425	646	21	0.688	0.985
ENSG00000272478	0	18	0	0.0	0
ENSG00000285946	0	0	0	0	0
ENSG00000280268	4	130	0	0.03	1.0
ENSG00000235002	0	0	0	0	0
ENSG00000230638	2	0	0	1.0	1.0
ENSG00000278124	0	3	0	0.0	0
ENSG00000117594	0	19	0	0.0	0
ENSG00000205544	0	12	0	0.0	0
ENSG00000231622	0	0	0	0	0
ENSG00000131747	5794	46	254	0.992	0.958
ENSG00000227579	1008	594	40	0.629	0.962
ENSG00000243489	3014	5	52	0.998	0.983
ENSG00000201547	0	0	0	0	0
ENSG00000265544	0	8	0	0.0	0
ENSG00000212186	8	0	0	1.0	1.0
ENSG00000215386	35201	1148	1375	0.968	0.962
ENSG00000273198	0	0	0	0	0
ENSG00000266647	2	0	0	1.0	1.0
ENSG00000142207	2043	85	57	0.96	0.973
ENSG00000228664	0	0	0	0	0
ENSG00000186924	8	1	0	0.889	1.0
ENSG00000157617	2088	93	52	0.957	0.976
ENSG00000251823	2	81	0	0.024	1.0
ENSG00000199347	0	295	0	0.0	0
ENSG00000197079	72	0	4	1.0	0.947
ENSG00000118473	3665	533	181	0.873	0.953
ENSG00000274386	999	89	45	0.918	0.957
ENSG00000264862	4	0	0	1.0	1.0
ENSG00000234293	0	0	0	0	0
ENSG00000158859	0	22	0	0.0	0
ENSG00000262089	296	0	14	1.0	0.955
ENSG00000274198	0	0	0	0	0
ENSG00000226843	6	0	0	1.0	1.0
ENSG00000249730	0	0	0	0	0
ENSG00000274452	0	62	0	0.0	0
ENSG00000265206	0	60	0	0.0	0
ENSG00000221880	4	21	0	0.16	1.0
ENSG00000253058	0	0	0	0	0
ENSG00000081248	0	50	0	0.0	0
ENSG00000126337	0	1	0	0.0	0
ENSG00000261335	0	0	0	0	0
ENSG00000243346	2	2	0	0.5	1.0
ENSG00000137948	10669	166	481	0.985	0.957
ENSG00000231237	643	0	7	1.0	0.989
ENSG00000180409	0	2	0	0.0	0
ENSG00000238078	0	0	0	0	0
ENSG00000172794	5750	4636	208	0.554	0.965
ENSG00000160766	197	632	7	0.238	0.966
ENSG00000186395	27	35	1	0.435	0.964
ENSG00000239886	0	32	0	0.0	0
ENSG00000223806	2111	20	61	0.991	0.972
ENSG00000265982	113	0	7	1.0	0.942
ENSG00000267095	0	170	0	0.0	0
ENSG00000172421	3915	209	259	0.949	0.938
ENSG00000249087	719	0	17	1.0	0.977
ENSG00000276755	25	10	1	0.714	0.962
ENSG00000108788	7803	625	233	0.926	0.971
ENSG00000230364	0	0	0	0	0
ENSG00000162521	12311	125	553	0.99	0.957
ENSG00000279133	0	29	0	0.0	0
ENSG00000120075	1070	11	24	0.99	0.978
ENSG00000226889	0	0	0	0	0
ENSG00000240021	3265	92	207	0.973	0.94
ENSG00000205445	603	34	9	0.947	0.985
ENSG00000074356	1443	110	29	0.929	0.98
ENSG00000264270	395	0	7	1.0	0.983
ENSG00000131475	678	4	30	0.994	0.958
ENSG00000116663	4	49	0	0.075	1.0
ENSG00000286655	0	1710	0	0.0	0
ENSG00000262031	0	0	0	0	0
ENSG00000189409	46090	945	1762	0.98	0.963
ENSG00000186377	28	3	0	0.903	1.0
ENSG00000197241	57	14	1	0.803	0.983
ENSG00000171793	3442	29	152	0.992	0.958
ENSG00000224783	0	2	0	0.0	0
ENSG00000184724	0	0	0	0	0
ENSG00000229440	0	0	0	0	0
ENSG00000263096	126	13	2	0.906	0.984
ENSG00000223671	247	0	3	1.0	0.988
ENSG00000162408	326	625	10	0.343	0.97
ENSG00000233593	9480	993	192	0.905	0.98
ENSG00000117155	606	19	20	0.97	0.968
ENSG00000262539	142	15	4	0.904	0.973
ENSG00000223823	0	8	0	0.0	0
ENSG00000267198	42	12868	0	0.003	1.0
ENSG00000228153	4	0	0	1.0	1.0
ENSG00000274607	0	1	0	0.0	0
ENSG00000198691	336	62	14	0.844	0.96
ENSG00000187824	12	2974	0	0.004	1.0
ENSG00000201178	0	0	0	0	0
ENSG00000227721	292	2	10	0.993	0.967
ENSG00000085552	16132	0	630	1.0	0.962
ENSG00000236290	70	0	0	1.0	1.0
ENSG00000225502	0	0	0	0	0
ENSG00000162378	10685	377	297	0.966	0.973
ENSG00000264735	0	1	0	0.0	0
ENSG00000265110	0	0	0	0	0
ENSG00000225036	0	0	0	0	0
ENSG00000231666	6156	25	154	0.996	0.976
ENSG00000240125	0	0	0	0	0
ENSG00000182557	4	818	0	0.005	1.0
ENSG00000108825	468	5078	56	0.084	0.893
ENSG00000230687	62	0	4	1.0	0.939
ENSG00000262003	2	5	0	0.286	1.0
ENSG00000142149	313	542	15	0.366	0.954
ENSG00000077157	10812	651	430	0.943	0.962
ENSG00000252484	0	0	0	0	0
ENSG00000264540	78	1	4	0.987	0.951
ENSG00000274266	0	0	0	0	0
ENSG00000108963	1108	96	38	0.92	0.967
ENSG00000267790	0	5	0	0.0	0
ENSG00000272235	337	0	9	1.0	0.974
ENSG00000221926	575	1305	19	0.306	0.968
ENSG00000279660	0	804	0	0.0	0
ENSG00000126353	3	2	1	0.6	0.75
ENSG00000227193	0	183	0	0.0	0
ENSG00000223745	5848	858	248	0.872	0.959
ENSG00000108561	251	2003	9	0.111	0.965
ENSG00000273104	0	0	0	0	0
ENSG00000267405	641	9	17	0.986	0.974
ENSG00000242482	0	1	0	0.0	0
ENSG00000265541	6	1	0	0.857	1.0
ENSG00000230434	7	0	1	1.0	0.875
ENSG00000228040	45	0	1	1.0	0.978
ENSG00000271811	0	0	0	0	0
ENSG00000228404	2	4494	0	0.0	1.0
ENSG00000274419	263	1510	7	0.148	0.974
ENSG00000227634	0	104	0	0.0	0
ENSG00000226883	199	515	3	0.279	0.985
ENSG00000228526	12362	2569	234	0.828	0.981
ENSG00000158481	39	0	5	1.0	0.886
ENSG00000116977	6379	1755	331	0.784	0.951
ENSG00000274933	3	1788	1	0.002	0.75
ENSG00000287372	117	6	3	0.951	0.975
ENSG00000234481	0	14	0	0.0	0
ENSG00000230828	115	0	1	1.0	0.991
ENSG00000252212	43	5	1	0.896	0.977
ENSG00000287836	0	19	0	0.0	0
ENSG00000230942	0	0	0	0	0
ENSG00000163866	4465	836	81	0.842	0.982
ENSG00000185158	1927	262	63	0.88	0.968
ENSG00000262881	736	0	14	1.0	0.981
ENSG00000162572	3291	113	119	0.967	0.965
ENSG00000117697	208	113	6	0.648	0.972
ENSG00000184774	30	21	0	0.588	1.0
ENSG00000126709	2	27	0	0.069	1.0
ENSG00000203864	0	29	0	0.0	0
ENSG00000227288	46	0	0	1.0	1.0
ENSG00000264026	11	11	1	0.5	0.917
ENSG00000162391	0	77	0	0.0	0
ENSG00000230228	2	8	0	0.2	1.0
ENSG00000142182	617	73	25	0.894	0.961
ENSG00000121766	1055	100	53	0.913	0.952
ENSG00000162687	11008	230	454	0.98	0.96
ENSG00000230461	2736	204	138	0.931	0.952
ENSG00000235869	0	0	0	0	0
ENSG00000277512	16	236	2	0.063	0.889
ENSG00000266561	0	0	0	0	0
ENSG00000264954	14	124	0	0.101	1.0
ENSG00000284696	914	69	28	0.93	0.97
ENSG00000284703	0	8	0	0.0	0
ENSG00000233449	0	0	0	0	0
ENSG00000230576	20	0	0	1.0	1.0
ENSG00000272386	778	0	18	1.0	0.977
ENSG00000168528	1351	21	59	0.985	0.958
ENSG00000264031	0	18187	0	0.0	0
ENSG00000201588	0	617	0	0.0	0
ENSG00000262979	0	0	0	0	0
ENSG00000234004	307	0	5	1.0	0.984
ENSG00000223589	0	0	0	0	0
ENSG00000287507	0	0	0	0	0
ENSG00000256618	30	0	0	1.0	1.0
ENSG00000270647	1233	5825	93	0.175	0.93
ENSG00000202385	0	9	0	0.0	0
