GENE	TP	FP	FN	P	R
ENSG00000277200	4	46	0	0.08	1.0
ENSG00000233057	0	5	0	0.0	0
ENSG00000236263	0	5297	0	0.0	0
ENSG00000169231	907	1194	1	0.432	0.999
ENSG00000231437	1469	8	3	0.995	0.998
ENSG00000116198	10763	647	99	0.943	0.991
ENSG00000225904	2901	0	55	1.0	0.981
ENSG00000201801	0	3	0	0.0	0
ENSG00000108448	3046	838	40	0.784	0.987
ENSG00000171401	432	1	0	0.998	1.0
ENSG00000237731	0	0	0	0	0
ENSG00000252483	0	22	0	0.0	0
ENSG00000205930	1491	3918	21	0.276	0.986
ENSG00000252151	0	0	0	0	0
ENSG00000172155	152	3	0	0.981	1.0
ENSG00000133195	1107	6866	3	0.139	0.997
ENSG00000154358	12716	2265	28	0.849	0.998
ENSG00000224613	3659	441	25	0.892	0.993
ENSG00000207237	0	0	0	0	0
ENSG00000274658	1482	327	2	0.819	0.999
ENSG00000237950	615	128	1	0.828	0.998
ENSG00000205670	4	2392	0	0.002	1.0
ENSG00000236601	11201	253	183	0.978	0.984
ENSG00000201028	0	1	0	0.0	0
ENSG00000226653	0	1	0	0.0	0
ENSG00000224698	70	54	0	0.565	1.0
ENSG00000186086	2128	1782	14	0.544	0.993
ENSG00000197568	414	518	2	0.444	0.995
ENSG00000232676	0	1	0	0.0	0
ENSG00000116205	2	566	0	0.004	1.0
ENSG00000264458	2	589	0	0.003	1.0
ENSG00000279066	236	102	8	0.698	0.967
ENSG00000244086	602	12	4	0.98	0.993
ENSG00000162733	2650	567	4	0.824	0.998
ENSG00000007314	2	275	0	0.007	1.0
ENSG00000276835	0	3	0	0.0	0
ENSG00000267653	0	277	0	0.0	0
ENSG00000237763	518	756	0	0.407	1.0
ENSG00000236234	60	1120	2	0.051	0.968
ENSG00000185917	2499	2419	23	0.508	0.991
ENSG00000054116	662	482	0	0.579	1.0
ENSG00000278274	0	202	0	0.0	0
ENSG00000005884	10228	364	44	0.966	0.996
ENSG00000120937	0	2	0	0.0	0
ENSG00000131470	1455	3869	7	0.273	0.995
ENSG00000267644	0	7	0	0.0	0
ENSG00000278834	0	504	0	0.0	0
ENSG00000240280	701	291	1	0.707	0.999
ENSG00000266187	0	10	0	0.0	0
ENSG00000233029	0	699	0	0.0	0
ENSG00000275631	0	0	0	0	0
ENSG00000188783	0	100	0	0.0	0
ENSG00000142748	219	119	1	0.648	0.995
ENSG00000233014	792	2	2	0.997	0.997
ENSG00000264164	64	265	0	0.195	1.0
ENSG00000237301	917	460	15	0.666	0.984
ENSG00000260879	388	171	4	0.694	0.99
ENSG00000235263	87	48	1	0.644	0.989
ENSG00000009790	647	100	1	0.866	0.998
ENSG00000142655	227	10584	1	0.021	0.996
ENSG00000136490	2952	67	16	0.978	0.995
ENSG00000284662	10	2	0	0.833	1.0
ENSG00000199270	0	637	0	0.0	0
ENSG00000232806	6	15	0	0.286	1.0
ENSG00000232369	8	34	0	0.19	1.0
ENSG00000215812	12	76	0	0.136	1.0
ENSG00000269978	0	1	0	0.0	0
ENSG00000143578	1134	176	8	0.866	0.993
ENSG00000206713	0	8	0	0.0	0
ENSG00000275613	2	0	0	1.0	1.0
ENSG00000228118	0	0	0	0	0
ENSG00000236473	104	27	0	0.794	1.0
ENSG00000122223	4970	233	14	0.955	0.997
ENSG00000276584	0	129	0	0.0	0
ENSG00000263098	121	0	1	1.0	0.992
ENSG00000270379	1507	246	93	0.86	0.942
ENSG00000169214	221	23	5	0.906	0.978
ENSG00000184544	4	231	0	0.017	1.0
ENSG00000169418	25839	132	69	0.995	0.997
ENSG00000167874	38	0	0	1.0	1.0
ENSG00000183153	0	1	0	0.0	0
ENSG00000167740	378	13375	2	0.027	0.995
ENSG00000200783	0	0	0	0	0
ENSG00000243686	0	111	0	0.0	0
ENSG00000188662	434	949	4	0.314	0.991
ENSG00000181481	4820	815	12	0.855	0.998
ENSG00000286109	2	183	0	0.011	1.0
ENSG00000266580	41	0	1	1.0	0.976
ENSG00000135750	787	600	3	0.567	0.996
ENSG00000065526	60	2112	0	0.028	1.0
ENSG00000206635	46	0	0	1.0	1.0
ENSG00000117174	2209	536	13	0.805	0.994
ENSG00000285604	3557	8	57	0.998	0.984
ENSG00000154645	380	1407	0	0.213	1.0
ENSG00000237491	3435	721	67	0.827	0.981
ENSG00000230434	8	0	0	1.0	1.0
ENSG00000169241	222	91	2	0.709	0.991
ENSG00000203786	0	0	0	0	0
ENSG00000143494	688	226	2	0.753	0.997
ENSG00000278535	993	59	1	0.944	0.999
ENSG00000223217	0	7	0	0.0	0
ENSG00000142949	1994	531	4	0.79	0.998
ENSG00000233583	0	19	0	0.0	0
ENSG00000228437	375	64	9	0.854	0.977
ENSG00000263375	155	0	1	1.0	0.994
ENSG00000287066	22	0	0	1.0	1.0
ENSG00000197915	0	2	0	0.0	0
ENSG00000207321	0	1	0	0.0	0
