GENE	TP	FP	FN	P	R
ENSG00000169291	4520	0	1944	1.0	0.699
ENSG00000236948	74	1	2	0.987	0.974
ENSG00000137976	0	0	0	0	0
ENSG00000172746	10	0	0	1.0	1.0
ENSG00000223881	0	0	0	0	0
ENSG00000226013	0	0	372	0	0.0
ENSG00000223624	0	0	58	0	0.0
ENSG00000189169	0	0	242	0	0.0
ENSG00000242391	0	0	50	0	0.0
ENSG00000261055	0	0	0	0	0
ENSG00000238220	0	0	0	0	0
ENSG00000286198	0	0	0	0	0
ENSG00000171603	10956	11	602	0.999	0.948
ENSG00000276632	0	0	0	0	0
ENSG00000263439	0	0	32	0	0.0
ENSG00000248954	0	0	0	0	0
ENSG00000263675	0	0	34	0	0.0
ENSG00000235965	0	0	0	0	0
ENSG00000188060	0	0	20	0	0.0
ENSG00000035687	83	0	13	1.0	0.865
ENSG00000159445	0	5	2	0.0	0.0
ENSG00000266009	0	0	0	0	0
ENSG00000237492	74	0	0	1.0	1.0
ENSG00000225826	0	0	118	0	0.0
ENSG00000172782	461	0	3	1.0	0.994
ENSG00000239560	0	0	0	0	0
ENSG00000225623	0	0	0	0	0
ENSG00000189343	0	0	388	0	0.0
ENSG00000272482	0	0	0	0	0
ENSG00000285822	182	3	0	0.984	1.0
ENSG00000253102	0	0	0	0	0
ENSG00000180340	5393	0	5	1.0	0.999
ENSG00000262085	0	0	0	0	0
ENSG00000167858	19	0	1	1.0	0.95
ENSG00000285177	0	0	0	0	0
ENSG00000252391	0	0	0	0	0
ENSG00000215381	156	0	0	1.0	1.0
ENSG00000223062	8	0	0	1.0	1.0
ENSG00000287586	0	0	18	0	0.0
ENSG00000204480	51	0	7	1.0	0.879
ENSG00000153029	5731	0	179	1.0	0.97
ENSG00000174292	1129	0	47	1.0	0.96
ENSG00000143499	78	0	0	1.0	1.0
ENSG00000235055	0	0	0	0	0
ENSG00000204913	0	0	0	0	0
ENSG00000135862	532	1	6	0.998	0.989
ENSG00000252363	0	0	4	0	0.0
ENSG00000236504	1	0	1	1.0	0.5
ENSG00000057757	1712	0	12	1.0	0.993
ENSG00000242220	106	0	296	1.0	0.264
ENSG00000159197	0	0	0	0	0
ENSG00000228560	0	16	0	0.0	0
ENSG00000244278	2	0	0	1.0	1.0
ENSG00000263089	0	0	2	0	0.0
ENSG00000284328	0	0	0	0	0
ENSG00000262518	0	0	0	0	0
ENSG00000279532	0	0	6	0	0.0
ENSG00000228407	0	0	2	0	0.0
ENSG00000212618	0	0	0	0	0
ENSG00000263494	9	5	69	0.643	0.115
ENSG00000207688	0	0	0	0	0
ENSG00000117859	14463	78	187	0.995	0.987
ENSG00000233430	10	0	14	1.0	0.417
ENSG00000143552	336	44	2	0.884	0.994
ENSG00000224977	0	0	0	0	0
ENSG00000249870	0	0	10	0	0.0
ENSG00000198976	10	0	0	1.0	1.0
ENSG00000225663	2263	0	19	1.0	0.992
ENSG00000129250	28	0	0	1.0	1.0
ENSG00000249451	103	0	7	1.0	0.936
ENSG00000226349	0	0	0	0	0
ENSG00000067191	2165	0	3249	1.0	0.4
ENSG00000154639	322	3	4	0.991	0.988
ENSG00000278259	4695	29	879	0.994	0.842
ENSG00000184007	33	0	313	1.0	0.095
ENSG00000233018	0	0	0	0	0
ENSG00000132716	261	0	1639	1.0	0.137
ENSG00000203811	0	0	66	0	0.0
ENSG00000186393	189	0	3	1.0	0.984
ENSG00000143353	11412	0	130	1.0	0.989
ENSG00000221200	0	0	0	0	0
ENSG00000287432	3	0	1	1.0	0.75
ENSG00000206585	24	0	4	1.0	0.857
ENSG00000135766	0	0	1808	0	0.0
ENSG00000237415	0	0	0	0	0
ENSG00000241361	0	1	0	0.0	0
ENSG00000229537	313	0	215	1.0	0.593
ENSG00000223450	0	0	0	0	0
ENSG00000233712	81	0	3	1.0	0.964
ENSG00000256029	7	0	327	1.0	0.021
ENSG00000170832	2745	63	1177	0.978	0.7
ENSG00000230777	0	0	0	0	0
ENSG00000143344	14	24	0	0.368	1.0
ENSG00000226758	0	0	0	0	0
ENSG00000167695	1529	0	1	1.0	0.999
ENSG00000117118	1958	0	6	1.0	0.997
ENSG00000273274	0	0	484	0	0.0
ENSG00000275832	10289	0	17	1.0	0.998
ENSG00000203783	0	0	0	0	0
ENSG00000200175	0	0	0	0	0
ENSG00000117226	106	1	8	0.991	0.93
ENSG00000134369	40	2	1940	0.952	0.02
ENSG00000186377	28	0	0	1.0	1.0
ENSG00000226067	553	5	775	0.991	0.416
ENSG00000212601	0	0	340	0	0.0
ENSG00000168591	6283	0	675	1.0	0.903
ENSG00000006282	8197	0	25	1.0	0.997
ENSG00000238118	0	0	2	0	0.0
ENSG00000226026	0	0	42	0	0.0
ENSG00000223982	0	0	0	0	0
ENSG00000090020	705	4	9	0.994	0.987
ENSG00000285677	127	1	39	0.992	0.765
ENSG00000186891	0	0	0	0	0
ENSG00000285179	0	0	0	0	0
ENSG00000263681	2	0	0	1.0	1.0
ENSG00000264002	0	0	0	0	0
ENSG00000170262	38	0	58	1.0	0.396
ENSG00000142669	2	0	0	1.0	1.0
ENSG00000185527	10	0	0	1.0	1.0
ENSG00000184640	60047	84	369	0.999	0.994
ENSG00000177000	3020	8	264	0.997	0.92
ENSG00000284311	0	0	0	0	0
ENSG00000131738	6	0	0	1.0	1.0
ENSG00000116726	0	0	0	0	0
ENSG00000286898	0	0	0	0	0
ENSG00000283701	0	0	0	0	0
ENSG00000239542	0	0	60	0	0.0
ENSG00000252129	0	0	0	0	0
ENSG00000136485	1355	0	17	1.0	0.988
ENSG00000223806	2164	0	8	1.0	0.996
ENSG00000232480	0	0	0	0	0
ENSG00000235085	0	0	6	0	0.0
ENSG00000280670	0	0	0	0	0
ENSG00000224114	0	0	0	0	0
ENSG00000202389	0	0	0	0	0
ENSG00000200538	0	0	0	0	0
ENSG00000116586	162	0	0	1.0	1.0
ENSG00000199442	0	0	0	0	0
ENSG00000162642	8	0	0	1.0	1.0
ENSG00000185433	1640	0	10	1.0	0.994
ENSG00000159131	5574	0	28	1.0	0.995
ENSG00000287810	0	0	0	0	0
ENSG00000225325	19	2	1	0.905	0.95
ENSG00000227543	9	1	337	0.9	0.026
ENSG00000233839	0	0	0	0	0
ENSG00000252032	0	0	18	0	0.0
ENSG00000117593	1818	0	122	1.0	0.937
ENSG00000143862	579	0	89	1.0	0.867
ENSG00000141744	0	0	0	0	0
ENSG00000162399	0	0	0	0	0
ENSG00000223489	0	0	0	0	0
ENSG00000197170	459	0	3	1.0	0.994
ENSG00000197417	0	0	58	0	0.0
ENSG00000263375	153	0	3	1.0	0.981
ENSG00000108829	0	1	0	0.0	0
ENSG00000244610	0	0	12	0	0.0
ENSG00000201025	0	0	0	0	0
ENSG00000278932	152	0	16	1.0	0.905
ENSG00000225952	0	0	132	0	0.0
ENSG00000227621	90	2	0	0.978	1.0
ENSG00000284623	470	0	2	1.0	0.996
ENSG00000234142	176	0	734	1.0	0.193
ENSG00000134697	85	0	3	1.0	0.966
ENSG00000117569	24049	0	245	1.0	0.99
ENSG00000234790	2	0	0	1.0	1.0
ENSG00000225904	0	0	2956	0	0.0
ENSG00000263342	0	0	0	0	0
ENSG00000267492	0	0	0	0	0
ENSG00000163518	1975	0	15	1.0	0.992
ENSG00000231992	0	0	0	0	0
ENSG00000178457	0	0	0	0	0
ENSG00000224950	10	0	50	1.0	0.167
ENSG00000006042	2281	0	19	1.0	0.992
ENSG00000228433	4	0	0	1.0	1.0
ENSG00000125703	442	1	2	0.998	0.995
ENSG00000206779	0	0	0	0	0
ENSG00000232193	2	0	0	1.0	1.0
ENSG00000279432	0	0	0	0	0
ENSG00000135747	0	5	0	0.0	0
ENSG00000157538	1159	0	6703	1.0	0.147
ENSG00000229842	0	0	0	0	0
ENSG00000264750	0	0	24	0	0.0
ENSG00000253025	0	0	0	0	0
ENSG00000272134	0	0	44	0	0.0
ENSG00000167941	0	0	0	0	0
ENSG00000225880	0	0	0	0	0
ENSG00000131791	0	0	0	0	0
ENSG00000207933	0	0	0	0	0
ENSG00000236539	0	0	20	0	0.0
ENSG00000162383	336	1	8	0.997	0.977
ENSG00000214822	357	0	369	1.0	0.492
ENSG00000287307	0	0	0	0	0
ENSG00000225487	134	0	0	1.0	1.0
ENSG00000225233	0	0	0	0	0
ENSG00000267342	12	0	0	1.0	1.0
ENSG00000142197	3906	27	480	0.993	0.891
ENSG00000265298	0	0	80	0	0.0
ENSG00000225779	102	0	0	1.0	1.0
ENSG00000238142	0	0	40	0	0.0
ENSG00000287217	0	0	0	0	0
ENSG00000284263	0	0	0	0	0
ENSG00000230953	0	0	0	0	0
ENSG00000279562	0	0	0	0	0
ENSG00000266718	0	0	4	0	0.0
ENSG00000286443	0	0	450	0	0.0
ENSG00000185839	0	46	0	0.0	0
ENSG00000226891	4705	0	61	1.0	0.987
ENSG00000229201	0	0	0	0	0
ENSG00000073598	2	0	10	1.0	0.167
ENSG00000163909	0	1	0	0.0	0
ENSG00000207421	0	0	38	0	0.0
ENSG00000237594	5	0	9	1.0	0.357
ENSG00000183929	0	0	0	0	0
ENSG00000261868	0	0	8	0	0.0
ENSG00000233419	6	0	0	1.0	1.0
ENSG00000232369	6	0	2	1.0	0.75
ENSG00000177888	102	0	0	1.0	1.0
ENSG00000232837	0	0	0	0	0
ENSG00000117010	999	0	9	1.0	0.991
ENSG00000143514	2035	1	13	1.0	0.994
ENSG00000286717	0	0	0	0	0
ENSG00000232622	4	0	0	1.0	1.0
ENSG00000224126	0	0	0	0	0
ENSG00000154760	784	0	96	1.0	0.891
ENSG00000200560	0	0	8	0	0.0
ENSG00000239246	0	0	46	0	0.0
ENSG00000275839	0	0	0	0	0
ENSG00000228215	1056	46	112	0.958	0.904
ENSG00000223390	0	0	0	0	0
ENSG00000236830	647	1	753	0.998	0.462
ENSG00000287929	0	0	1554	0	0.0
ENSG00000125430	0	3	0	0.0	0
ENSG00000274419	13	0	257	1.0	0.048
ENSG00000248278	0	2	0	0.0	0
ENSG00000234116	0	0	0	0	0
ENSG00000267035	18	0	0	1.0	1.0
ENSG00000178965	1545	1	161	0.999	0.906
ENSG00000158710	3300	0	12	1.0	0.996
ENSG00000277597	31	0	31	1.0	0.5
ENSG00000271588	8	0	0	1.0	1.0
ENSG00000143207	2485	14	23	0.994	0.991
ENSG00000232878	0	0	104	0	0.0
ENSG00000230434	8	0	0	1.0	1.0
ENSG00000264666	21	0	17	1.0	0.553
ENSG00000160208	30	0	0	1.0	1.0
ENSG00000132196	1882	0	12	1.0	0.994
ENSG00000229989	284	4	2	0.986	0.993
ENSG00000162913	1594	0	468	1.0	0.773
ENSG00000284674	0	0	0	0	0
ENSG00000267253	0	0	0	0	0
ENSG00000233332	0	0	2	0	0.0
ENSG00000199959	0	0	0	0	0
ENSG00000004975	2658	0	12	1.0	0.996
ENSG00000266588	556	0	2	1.0	0.996
ENSG00000229316	0	0	0	0	0
ENSG00000010803	316	14	344	0.958	0.479
ENSG00000274308	0	0	0	0	0
ENSG00000143164	386	2	166	0.995	0.699
ENSG00000285698	0	0	0	0	0
ENSG00000230404	0	0	0	0	0
ENSG00000200839	0	0	0	0	0
ENSG00000212248	0	0	50	0	0.0
ENSG00000280614	0	0	0	0	0
ENSG00000176994	1237	0	59	1.0	0.954
ENSG00000078687	654	17	18	0.975	0.973
ENSG00000280168	0	0	36	0	0.0
ENSG00000222018	0	0	714	0	0.0
ENSG00000116285	123	0	1	1.0	0.992
ENSG00000228423	0	0	0	0	0
ENSG00000237278	0	0	0	0	0
ENSG00000233355	0	0	116	0	0.0
ENSG00000278955	20	0	10	1.0	0.667
ENSG00000182575	7583	0	1669	1.0	0.82
ENSG00000285808	0	0	0	0	0
ENSG00000264809	0	0	0	0	0
ENSG00000141485	441	0	629	1.0	0.412
ENSG00000223822	0	0	268	0	0.0
ENSG00000231985	0	0	0	0	0
ENSG00000136478	1827	2	5	0.999	0.997
ENSG00000232208	0	0	0	0	0
ENSG00000135778	849	0	73	1.0	0.921
ENSG00000201801	0	0	0	0	0
ENSG00000136636	152	0	0	1.0	1.0
ENSG00000203781	0	0	0	0	0
ENSG00000263558	0	0	2	0	0.0
ENSG00000226137	1419	0	69	1.0	0.954
ENSG00000266877	592	2	22	0.997	0.964
ENSG00000231072	0	0	0	0	0
ENSG00000223254	0	0	0	0	0
ENSG00000230921	0	0	58	0	0.0
ENSG00000283796	0	0	12	0	0.0
ENSG00000159961	0	0	4	0	0.0
ENSG00000278181	42	0	0	1.0	1.0
ENSG00000239930	0	0	0	0	0
ENSG00000181013	0	0	0	0	0
ENSG00000179136	82	124	36	0.398	0.695
ENSG00000168610	5552	5	22	0.999	0.996
ENSG00000201812	0	0	162	0	0.0
ENSG00000226012	0	0	8	0	0.0
ENSG00000274662	0	0	10	0	0.0
ENSG00000143162	202	0	2	1.0	0.99
ENSG00000225315	0	5	0	0.0	0
ENSG00000221673	0	0	0	0	0
ENSG00000116721	283	0	241	1.0	0.54
ENSG00000231095	0	0	0	0	0
ENSG00000227217	0	0	0	0	0
ENSG00000161692	1520	0	20	1.0	0.987
ENSG00000264907	1021	0	1	1.0	0.999
ENSG00000212610	0	0	0	0	0
ENSG00000231136	0	0	0	0	0
ENSG00000224308	0	0	0	0	0
ENSG00000129255	1959	1	387	0.999	0.835
ENSG00000184274	0	127	0	0.0	0
ENSG00000166263	5055	6	75	0.999	0.985
ENSG00000279687	4	0	22	1.0	0.154
ENSG00000108511	0	0	168	0	0.0
ENSG00000239945	0	0	1456	0	0.0
ENSG00000207235	0	0	0	0	0
ENSG00000135823	346	0	1306	1.0	0.209
ENSG00000268074	0	0	0	0	0
ENSG00000287743	0	0	0	0	0
ENSG00000264773	0	0	0	0	0
ENSG00000236905	158	0	2	1.0	0.988
ENSG00000230735	0	0	0	0	0
ENSG00000156273	974	765	82	0.56	0.922
ENSG00000143569	2410	2	14	0.999	0.994
ENSG00000269934	0	0	570	0	0.0
ENSG00000264371	24	0	0	1.0	1.0
ENSG00000266561	0	0	0	0	0
ENSG00000276863	0	0	80	0	0.0
ENSG00000134240	0	0	0	0	0
ENSG00000234476	22	0	2	1.0	0.917
ENSG00000141200	0	0	994	0	0.0
ENSG00000070731	448	0	686	1.0	0.395
ENSG00000267203	0	0	0	0	0
ENSG00000266150	0	0	78	0	0.0
ENSG00000090432	0	0	0	0	0
ENSG00000006744	1443	0	23	1.0	0.984
ENSG00000201944	0	0	0	0	0
ENSG00000229344	0	0	582	0	0.0
ENSG00000227082	363	0	45	1.0	0.89
ENSG00000076351	257	0	1333	1.0	0.162
ENSG00000279542	0	0	0	0	0
ENSG00000265428	0	0	0	0	0
ENSG00000197747	0	0	0	0	0
ENSG00000205439	0	0	0	0	0
ENSG00000232862	4	0	0	1.0	1.0
ENSG00000278678	0	0	24	0	0.0
ENSG00000162851	0	0	0	0	0
ENSG00000261987	0	0	0	0	0
ENSG00000273384	0	0	0	0	0
ENSG00000226191	0	0	0	0	0
ENSG00000199697	0	0	0	0	0
ENSG00000286224	0	0	200	0	0.0
ENSG00000267083	0	0	8	0	0.0
ENSG00000224687	399	0	9	1.0	0.978
ENSG00000280351	0	0	412	0	0.0
ENSG00000199053	0	0	2	0	0.0
ENSG00000260157	20	0	2	1.0	0.909
ENSG00000264853	0	0	5110	0	0.0
ENSG00000142675	258	0	0	1.0	1.0
ENSG00000241945	566	0	3050	1.0	0.157
ENSG00000279728	0	0	0	0	0
ENSG00000231582	38	0	78	1.0	0.328
ENSG00000162670	615	42	3	0.936	0.995
ENSG00000213885	3	0	5	1.0	0.375
ENSG00000277671	0	0	0	0	0
ENSG00000266806	0	0	0	0	0
ENSG00000237707	92	0	0	1.0	1.0
ENSG00000239704	0	0	4	0	0.0
ENSG00000284237	3221	0	15	1.0	0.995
ENSG00000130762	3017	0	7	1.0	0.998
ENSG00000284830	0	0	0	0	0
ENSG00000222624	0	0	0	0	0
ENSG00000179029	1069	0	1	1.0	0.999
ENSG00000238009	31	8	199	0.795	0.135
ENSG00000272164	2	0	0	1.0	1.0
ENSG00000152104	575	10	1221	0.983	0.32
ENSG00000196449	572	0	232	1.0	0.711
ENSG00000225855	52	0	4156	1.0	0.012
ENSG00000234132	0	0	4	0	0.0
ENSG00000234915	0	0	0	0	0
ENSG00000284677	0	0	0	0	0
ENSG00000227425	0	0	2	0	0.0
ENSG00000267634	2	0	0	1.0	1.0
ENSG00000166750	14229	0	65	1.0	0.995
ENSG00000091622	1820	4	116	0.998	0.94
ENSG00000141748	21	0	43	1.0	0.328
ENSG00000215802	0	0	66	0	0.0
ENSG00000238898	0	0	0	0	0
ENSG00000199756	0	0	0	0	0
ENSG00000143195	10253	0	95	1.0	0.991
ENSG00000252407	0	0	0	0	0
ENSG00000198758	0	0	14876	0	0.0
ENSG00000215866	634	1	94	0.998	0.871
ENSG00000259120	0	0	6	0	0.0
ENSG00000285651	0	0	2468	0	0.0
ENSG00000143543	0	0	608	0	0.0
ENSG00000229846	0	0	0	0	0
ENSG00000227694	0	0	0	0	0
ENSG00000287396	0	0	0	0	0
ENSG00000228734	0	0	0	0	0
ENSG00000120937	0	0	0	0	0
ENSG00000232514	0	0	0	0	0
ENSG00000172031	164	0	0	1.0	1.0
ENSG00000232539	0	0	1666	0	0.0
ENSG00000163399	1307	1	1905	0.999	0.407
ENSG00000287602	0	0	0	0	0
ENSG00000275215	0	0	54	0	0.0
ENSG00000236618	4	0	8	1.0	0.333
ENSG00000212624	0	0	0	0	0
ENSG00000163444	887	0	9	1.0	0.99
ENSG00000270324	80	0	0	1.0	1.0
ENSG00000262870	0	0	18	0	0.0
ENSG00000200914	0	0	62	0	0.0
ENSG00000184451	18	0	50	1.0	0.265
ENSG00000273604	14	0	0	1.0	1.0
ENSG00000237991	14	0	0	1.0	1.0
ENSG00000252612	0	0	0	0	0
ENSG00000162373	0	0	94	0	0.0
ENSG00000237700	0	0	0	0	0
ENSG00000222511	0	0	0	0	0
ENSG00000227036	31978	51	886	0.998	0.973
ENSG00000274244	0	0	2	0	0.0
ENSG00000211454	23	0	1	1.0	0.958
ENSG00000135773	377	0	451	1.0	0.455
ENSG00000233827	159	0	1	1.0	0.994
ENSG00000162782	58	0	0	1.0	1.0
ENSG00000073605	2990	0	16	1.0	0.995
ENSG00000287066	0	0	22	0	0.0
ENSG00000108784	0	0	2	0	0.0
ENSG00000258082	534	0	2	1.0	0.996
ENSG00000273172	518	0	2	1.0	0.996
ENSG00000225043	0	0	780	0	0.0
ENSG00000132781	6798	0	228	1.0	0.968
ENSG00000229785	325	0	1	1.0	0.997
ENSG00000283356	6	0	0	1.0	1.0
ENSG00000200421	0	0	0	0	0
ENSG00000261706	0	0	0	0	0
ENSG00000242860	0	0	0	0	0
ENSG00000265435	0	0	0	0	0
ENSG00000065135	6926	2	12444	1.0	0.358
ENSG00000213190	0	0	0	0	0
ENSG00000225672	10	0	0	1.0	1.0
ENSG00000278972	0	0	1876	0	0.0
ENSG00000202184	0	0	2	0	0.0
ENSG00000266210	34	0	8	1.0	0.81
ENSG00000262429	0	0	18	0	0.0
ENSG00000263400	0	0	738	0	0.0
ENSG00000199806	0	0	4	0	0.0
ENSG00000237409	0	0	2	0	0.0
ENSG00000143375	1002	0	8	1.0	0.992
ENSG00000265206	0	0	0	0	0
ENSG00000252578	0	0	4	0	0.0
ENSG00000031698	194	0	0	1.0	1.0
ENSG00000267394	0	2	0	0.0	0
ENSG00000239216	0	0	0	0	0
ENSG00000232679	3494	0	16	1.0	0.995
ENSG00000226286	0	0	2	0	0.0
ENSG00000283340	0	0	16	0	0.0
ENSG00000108405	1387	0	3	1.0	0.998
ENSG00000202526	0	0	0	0	0
ENSG00000185168	0	0	0	0	0
ENSG00000207501	0	0	2	0	0.0
ENSG00000177728	13478	1	390	1.0	0.972
ENSG00000274607	0	0	0	0	0
ENSG00000131779	350	0	6	1.0	0.983
ENSG00000231468	0	0	256	0	0.0
ENSG00000180509	961	0	2145	1.0	0.309
ENSG00000250734	0	0	0	0	0
ENSG00000007968	0	0	0	0	0
ENSG00000169683	1152	0	346	1.0	0.769
ENSG00000127074	0	0	1088	0	0.0
ENSG00000273058	0	0	0	0	0
ENSG00000252352	0	0	0	0	0
ENSG00000184361	0	0	0	0	0
ENSG00000108958	0	0	122	0	0.0
ENSG00000005379	9197	0	2641	1.0	0.777
ENSG00000284640	22	0	0	1.0	1.0
ENSG00000153944	7394	94	106	0.987	0.986
ENSG00000234912	8	0	1678	1.0	0.005
ENSG00000228288	206	0	0	1.0	1.0
ENSG00000242439	0	0	0	0	0
ENSG00000279573	0	0	0	0	0
ENSG00000266126	0	0	0	0	0
ENSG00000162618	3595	30	25	0.992	0.993
ENSG00000064195	26	0	0	1.0	1.0
ENSG00000233750	249	0	2869	1.0	0.08
ENSG00000277532	0	0	26	0	0.0
ENSG00000229699	0	0	0	0	0
ENSG00000278097	0	0	0	0	0
ENSG00000167850	0	0	0	0	0
ENSG00000131771	1538	1	4	0.999	0.997
ENSG00000229639	0	0	0	0	0
ENSG00000230285	6	0	0	1.0	1.0
ENSG00000265313	2909	4	65	0.999	0.978
ENSG00000270829	0	0	0	0	0
ENSG00000234166	0	0	998	0	0.0
ENSG00000143799	2054	0	6	1.0	0.997
ENSG00000159200	2679	0	13	1.0	0.995
ENSG00000279324	0	0	32	0	0.0
ENSG00000225650	0	0	28	0	0.0
ENSG00000221995	0	0	8	0	0.0
ENSG00000219200	0	0	1558	0	0.0
ENSG00000223768	2129	0	9	1.0	0.996
ENSG00000232341	0	0	0	0	0
ENSG00000117592	0	0	130	0	0.0
ENSG00000154898	461	5	899	0.989	0.339
ENSG00000264078	0	0	30	0	0.0
ENSG00000229782	0	0	0	0	0
ENSG00000230965	18	0	0	1.0	1.0
ENSG00000199347	0	0	0	0	0
ENSG00000227741	40	0	108	1.0	0.27
ENSG00000173673	0	0	0	0	0
ENSG00000201542	0	0	0	0	0
ENSG00000285593	153	0	3	1.0	0.981
ENSG00000143061	0	0	0	0	0
ENSG00000223728	108	0	0	1.0	1.0
ENSG00000229911	0	0	0	0	0
ENSG00000226715	283	2	5	0.993	0.983
ENSG00000231755	14	0	0	1.0	1.0
ENSG00000264513	0	0	34	0	0.0
ENSG00000132386	5443	0	19	1.0	0.997
ENSG00000270598	1083	2	5	0.998	0.995
ENSG00000070785	1011	9	51	0.991	0.952
ENSG00000284424	0	0	0	0	0
ENSG00000266664	0	0	0	0	0
ENSG00000235919	7	1	3	0.875	0.7
ENSG00000234422	18	0	0	1.0	1.0
ENSG00000222858	0	0	22	0	0.0
ENSG00000224141	70	8	0	0.897	1.0
ENSG00000155366	1012	0	2384	1.0	0.298
ENSG00000207056	0	0	0	0	0
ENSG00000233676	0	4	0	0.0	0
ENSG00000181374	16	0	0	1.0	1.0
ENSG00000230704	0	0	10	0	0.0
ENSG00000142751	1570	1	1572	0.999	0.5
ENSG00000224905	37745	3	295	1.0	0.992
ENSG00000273573	0	0	0	0	0
ENSG00000270171	0	0	0	0	0
ENSG00000177452	0	0	0	0	0
ENSG00000236119	0	0	0	0	0
ENSG00000199837	0	0	0	0	0
ENSG00000232265	181	0	663	1.0	0.214
ENSG00000108819	0	0	130	0	0.0
ENSG00000251767	0	0	0	0	0
ENSG00000213128	428	0	0	1.0	1.0
ENSG00000227062	0	0	0	0	0
ENSG00000221545	0	0	0	0	0
ENSG00000278740	0	0	0	0	0
ENSG00000264113	0	0	12	0	0.0
ENSG00000117395	480	1	578	0.998	0.454
ENSG00000279769	1132	0	4	1.0	0.996
ENSG00000223544	0	0	28	0	0.0
ENSG00000132881	106	0	0	1.0	1.0
ENSG00000236817	0	28	0	0.0	0
ENSG00000226664	0	0	0	0	0
ENSG00000010165	70	0	0	1.0	1.0
ENSG00000143190	4843	6	23	0.999	0.995
ENSG00000200800	0	0	0	0	0
ENSG00000224174	0	0	0	0	0
ENSG00000058085	262	0	2	1.0	0.992
ENSG00000279428	15	0	101	1.0	0.129
ENSG00000062716	1732	17	134	0.99	0.928
ENSG00000231080	0	0	0	0	0
ENSG00000184787	423	0	5	1.0	0.988
ENSG00000212658	46	0	0	1.0	1.0
ENSG00000262652	0	0	2	0	0.0
ENSG00000035862	264	2	82	0.992	0.763
ENSG00000270780	0	0	0	0	0
ENSG00000241595	0	0	0	0	0
ENSG00000235749	1944	18	2362	0.991	0.451
ENSG00000184557	1211	0	5	1.0	0.996
ENSG00000282199	0	1	0	0.0	0
